Id,Label,modularity_class
11,Valjean,1
48,Gavroche,8
55,Marius,6
27,Javert,7
25,Thenardier,7
23,Fantine,2
58,Enjolras,8
62,Courfeyrac,8
64,Bossuet,8
63,Bahorel,8
65,Joly,8
24,MmeThenardier,7
26,Cosette,6
41,Eponine,7
57,Mabeuf,8
59,Combeferre,8
61,Feuilly,8
0,Myriel,0
66,Grantaire,8
68,Gueulemer,7
69,Babet,7
70,Claquesous,7
16,Tholomyes,2
60,Prouvaire,8
71,Montparnasse,7
29,Bamatabois,3
17,Listolier,2
18,Fameuil,2
19,Blacheville,2
20,Favourite,2
21,Dahlia,2
22,Zephine,2
49,Gillenormand,6
51,MlleGillenormand,6
75,Brujon,7
76,MmeHucheloup,8
34,Judge,3
35,Champmathieu,3
36,Brevet,3
37,Chenildieu,3
38,Cochepaille,3
28,Fauchelevent,4
31,Simplice,2
54,LtGillenormand,6
2,MlleBaptistine,1
3,MmeMagloire,1
39,Pontmercy,6
42,Anzelma,7
43,Woman2,6
72,Toussaint,1
12,Marguerite,1
30,Perpetue,2
33,Woman1,1
44,MotherInnocent,4
47,MmeBurgon,5
50,Magnon,6
52,MmePontmercy,6
56,BaronessT,6
73,Child1,8
74,Child2,8
1,Napoleon,0
4,CountessDeLo,0
5,Geborand,0
6,Champtercier,0
7,Cravatte,0
8,Count,0
9,OldMan,0
10,Labarre,1
13,MmeDeR,1
14,Isabeau,1
15,Gervais,1
32,Scaufflaire,1
40,Boulatruelle,7
45,Gribier,4
46,Jondrette,5
53,MlleVaubois,6
67,MotherPlutarch,8
