episode,scene_num,sequence,place,type,actor,dialogue
4,1,1,REBEL BLOCKADE RUNNER,INT,THREEPIO,Did you hear that? They've shut down the main reactor. We'll be destroyed for sure. This is madness!
4,1,2,REBEL BLOCKADE RUNNER,INT,THREEPIO,We're doomed!
4,1,3,REBEL BLOCKADE RUNNER,INT,THREEPIO,There'll be no escape for the Princess this time.
4,1,4,REBEL BLOCKADE RUNNER,INT,THREEPIO,What's that?
4,3,5,REBEL BLOCKADE RUNNER,INT,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...
4,4,6,TATOOINE,INT,LUKE,Hurry up! Come with me! What are you waiting for?! Get in gear!
4,7,7,REBEL BLOCKADE RUNNER,INT,THREEPIO,"Artoo! Artoo-Detoo, where are you?"
4,7,8,REBEL BLOCKADE RUNNER,INT,THREEPIO,At last! Where have you been?
4,7,9,REBEL BLOCKADE RUNNER,INT,THREEPIO,They're heading in this direction. What are we going to do? We'll be sent to the spice mine of Kessel or smashed into who knows what!
4,7,10,REBEL BLOCKADE RUNNER,INT,THREEPIO,"Wait a minute, where are you going?"
4,8,11,REBEL BLOCKADE RUNNER,INT,IMPERIAL OFFICER,The Death Star plans are not in the main computer.
4,8,12,REBEL BLOCKADE RUNNER,INT,VADER,Where are those transmissions you intercepted?
4,8,13,REBEL BLOCKADE RUNNER,INT,VADER,What have you done with those plans?
4,8,14,REBEL BLOCKADE RUNNER,INT,REBEL OFFICER,We intercepted no transmissions. Aaah... This is a consular ship. Were on a diplomatic mission.
4,8,15,REBEL BLOCKADE RUNNER,INT,VADER,If this is a consular ship... were is the Ambassador?
4,8,16,REBEL BLOCKADE RUNNER,INT,VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador. I want her alive!"
4,9,17,REBEL BLOCKADE RUNNER,INT,TROOPER,There she is! Set for stun!
4,9,18,REBEL BLOCKADE RUNNER,INT,TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.
4,10,19,REBEL BLOCKADE RUNNER,INT,THREEPIO,"Hey, you're not permitted in there. It's restricted. You'll be deactivated for sure.."
4,10,20,REBEL BLOCKADE RUNNER,INT,THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease! Now come out before somebody sees you."
4,10,21,REBEL BLOCKADE RUNNER,INT,THREEPIO,Secret mission? What plans? What are you talking about? I'm not getting in there!
4,10,22,REBEL BLOCKADE RUNNER,INT,THREEPIO,I'm going to regret this.
4,11,23,IMPERIAL STARDESTROYER,INT,CHIEF PILOT,There goes another one.
4,11,24,IMPERIAL STARDESTROYER,INT,CAPTAIN,Hold your fire. There are no life forms. It must have been short- circuited.
4,12,25,LIFEPOD,INT,THREEPIO,"That's funny, the damage doesn't look as bad from out here."
4,12,26,LIFEPOD,INT,THREEPIO,Are you sure this things safe?
4,13,27,TATOOINE,INT,WOMAN,I've told you kids to slow down!
4,14,28,POWER STATION,INT,FIXER,Did I hear a young noise blast through here?
4,14,29,POWER STATION,INT,CAMIE,It was just wormie on another rampage.
4,14,30,POWER STATION,INT,LUKE,Shape it up you guys!... Biggs?
4,14,31,POWER STATION,INT,LUKE,I didn't know you were back! When did you get in?
4,14,32,POWER STATION,INT,BIGGS,"Just now. I wanted to surprise you, hot shot. I thought you'd be here... certainly didn't expect you to be out working."
4,14,33,POWER STATION,INT,LUKE,"The Academy didn't change you much...but you're back so soon? Hey, what happened, didn't you get your commission?"
4,14,34,POWER STATION,INT,BIGGS,Of course I got it. Signed aboard The Rand Ecliptic last week. First mate Biggs Darklighter at your service... ...I just came to say good-bye to all you unfortunate landlocked simpletons.
4,14,35,POWER STATION,INT,LUKE,I almost forgot. There's a battle going on! Right here in our system. Come and look!
4,14,36,POWER STATION,INT,DEAK,Not again! Forget it.
4,15,37,TATOOINE,INT,LUKE,There they are!
4,15,38,TATOOINE,INT,BIGGS,"That's no battle, hot shot... they're just sitting there! Probably a freighter-tanker refueling."
4,15,39,TATOOINE,INT,LUKE,But there was a lot of firing earlier...
4,15,40,TATOOINE,INT,LUKE,"Hey, easy with those..."
4,15,41,TATOOINE,INT,CAMIE,"Don't worry about it, Wormie."
4,15,42,TATOOINE,INT,FIXER,"I keep telling you, the Rebellion is a long way from here. I doubt if the Empire would even fight to keep this system. Believe me Luke, this planet is a big hunk of nothing..."
4,16,43,REBEL BLOCKADE RUNNER,INT,LEIA,"Lord Vader, I should have known. Only you could be so bold. The Imperial Senate will not sit for this, when they hear you've attacked a diplomatic..."
4,16,44,REBEL BLOCKADE RUNNER,INT,VADER,"Don't play games with me, Your Highness. You weren't on any mercy mission this time. You passed directly through a restricted system. Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you."
4,16,45,REBEL BLOCKADE RUNNER,INT,LEIA,I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...
4,16,46,REBEL BLOCKADE RUNNER,INT,VADER,You're a part of the Rebel Alliance... and a traitor. Take her away!
4,16,47,REBEL BLOCKADE RUNNER,INT,COMMANDER,"Holding her is dangerous. If word of this gets out, it could generate sympathy for the Rebellion in the senate."
4,16,48,REBEL BLOCKADE RUNNER,INT,VADER,I have traced the Rebel spies to her. Now she is my only link to find their secret base!
4,16,49,REBEL BLOCKADE RUNNER,INT,COMMANDER,She'll die before she tells you anything.
4,16,50,REBEL BLOCKADE RUNNER,INT,VADER,Leave that to me. Send a distress signal and then inform the senate that all aboard were killed!
4,16,51,REBEL BLOCKADE RUNNER,INT,SECOND OFFICER,"Lord Vader, the battle station plans are not aboard this ship! And no transmissions were made. An escape pod was jettisoned during the fighting, but no life forms were aboard."
4,16,52,REBEL BLOCKADE RUNNER,INT,VADER,"She must have hidden the plans in the escape pod. Send a detachment down to retrieve them. See to it personally, Commander. There'll be no one to stop us this time."
4,16,53,REBEL BLOCKADE RUNNER,INT,COMMANDER,"Yes, sir."
4,18,54,TATOOINE,INT,THREEPIO,How did I get into this mess? I really don't know how. We seem to be made to suffer. It's our lot in life.
4,18,55,TATOOINE,INT,THREEPIO,I've got to rest before I fall apart. My joints are almost frozen.
4,18,56,TATOOINE,INT,THREEPIO,What a desolate place this is.
4,18,57,TATOOINE,INT,THREEPIO,Where are you going?
4,18,58,TATOOINE,INT,THREEPIO,"Well, I'm not going that way. It's much too rocky. This way is much easier."
4,18,59,TATOOINE,INT,THREEPIO,What makes you think there are settlements over there?
4,18,60,TATOOINE,INT,THREEPIO,Don't get technical with me.
4,18,61,TATOOINE,INT,THREEPIO,"What mission? What are you talking about? I've had just about enough of you! Go that way! You'll be malfunctioning within a day, you nearsighted scrap pile!"
4,18,62,TATOOINE,INT,THREEPIO,"And don't let me catch you following me begging for help, because you won't get it."
4,18,63,TATOOINE,INT,THREEPIO,No more adventures. I'm not going that way.
4,19,64,TATOOINE,INT,THREEPIO,"That malfunctioning little twerp. This is all his fault! He tricked me into going this way, but he'll do no better."
4,19,65,TATOOINE,INT,THREEPIO,"Wait, what's that? A transport! I'm saved!"
4,19,66,TATOOINE,INT,THREEPIO,"Over here! Help! Please, help!"
4,20,67,TATOOINE,INT,LUKE,"...so I cut off my power, shut down the afterburners and came in low on Deak's trail. I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad. Uncle Owen was pretty upset. He grounded me for the rest of the season. You should have been there... it was fantastic."
4,20,68,TATOOINE,INT,BIGGS,"You ought to take it easy Luke. You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous. Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall."
4,20,69,TATOOINE,INT,LUKE,Look who's talking. Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...
4,20,70,TATOOINE,INT,BIGGS,I've missed you kid.
4,20,71,TATOOINE,INT,LUKE,"Well, things haven't been the same since you left, Biggs. It's been so... quiet."
